CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,CrimeHead,CrimeSubHead,PoliceStation,PoliceStationType,District,Court,EmployeeID,Officer,OfficerRank,OfficerDesignation,Status,CaseCategory,Gravity,AccusedCount,AccusedNames,VictimCount,VictimNames,Complainant,ArrestCount,ChargesheetCount,LatestChargesheetDate,ChargesheetStatus,Acts,Sections,InfoReceivedPSDate,IncidentFromDate,IncidentToDate,Latitude,Longitude,BriefFacts
1,1.0001e+17,202600001,2026-02-08,Crimes Against Women,Dowry Harassment,Basavanagudi Women PS,Women Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,451,Pooja,Police Constable,Station House Officer (SHO),Under Investigation,FIR,Non-Heinous,1,Nikita Golla,2,Ekalinga Mann; Eshana Zachariah,Aryan Kant,0,0,,Pending,DP Act,Giving/Taking Dowry,2026-02-06 03:00:00,2026-02-05 22:00:00,2026-02-06 03:00:00,12.8645,77.602231,Veniam hic aliquid reprehenderit atque nesciunt tenetur dolor assumenda in dolores mollitia animi natus veniam occaecati nesciunt aperiam.
2,1.0001e+17,202600001,2026-04-18,Traffic & Motor Vehicle Offences,Hit and Run,City Market Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,307,Yatan,Sub-Inspector (SI),Crime Branch Officer,Charge Sheeted,FIR,Non-Heinous,1,Maanas Bora,1,Yug Oza,Jairaj Bumb,1,1,2026-06-03,Filed,MV Act,Duty in Accident Cases,2026-04-17 11:00:00,2026-04-17 06:00:00,2026-04-17 10:00:00,13.020501,77.480917,Neque odit fuga molestias aperiam animi dignissimos perspiciatis incidunt et nesciunt iste error.
3,1.0001e+17,202600001,2026-03-18,Crimes Against Women,Stalking,Indiranagar Police Station,Police Station,Bangalore Urban,City Civil Court Bengaluru,42,Ekiya,Police Constable,Crime Branch Officer,Disposed by Court,FIR,Heinous,1,Mohammed Sehgal,1,Vritti Bhattacharyya,Bhavya Chander,1,1,2026-04-10,Filed,BNS; DP Act,Assault on Woman; Giving/Taking Dowry; 79,2026-03-15 13:00:00,2026-03-15 05:00:00,2026-03-15 08:00:00,12.977983,77.499489,Maiores cumque exercitationem ut in vitae aspernatur nam ratione repellendus excepturi expedita libero.
4,1.0001e+17,202600001,2026-06-29,Crimes Against Women,Molestation,Sanjaynagar Police Station,Police Station,Bangalore Urban,Special Court for NDPS Cases Bengaluru,171,Anirudh,Police Constable,Circle Inspector,Under Investigation,FIR,Non-Heinous,2,Jack Kaul; Xavier Gopal,1,Benjamin Goda,Liam Sagar; Sachi Kashyap,1,0,,Pending,POCSO,Penetrative Sexual Assault,2026-06-27 23:00:00,2026-06-27 09:00:00,2026-06-27 14:00:00,13.07176,77.554102,Quaerat suscipit expedita velit explicabo nostrum laudantium dolor enim qui id totam libero cumque illo eius consequatur.
5,1.0001e+17,202600001,2026-06-18,Crimes Against Public Order,Unlawful Assembly,Byatarayanapura Police Station,Police Station,Bangalore Urban,Court of ASCJ Bengaluru,181,Kalpit,Police Constable,Traffic Officer,Under Investigation,FIR,Non-Heinous,1,Hemang Sastry,1,Azaan Halder,Damini Subramaniam,1,0,,Pending,BNS,Criminal Intimidation,2026-06-17 02:00:00,2026-06-16 19:00:00,2026-06-16 19:00:00,12.851023,77.575684,Eligendi corporis modi non et commodi similique veniam omnis qui itaque sit veritatis perspiciatis nam id.
6,1.0001e+17,202600001,2026-01-29,Crimes Against Body,Kidnapping,CEN PS Cyber Crime Whitefield,CEN Police Station,Bangalore Urban,City Civil Court Bengaluru,480,Vivaan,Police Constable,Traffic Officer,Under Investigation,FIR,Heinous,1,Ekbal Chaudry,1,Wyatt Muni,Yagnesh Shukla,1,0,,Pending,BNS,Attempt to Murder; Grievous Hurt; Murder,2026-01-27 09:00:00,2026-01-27 05:00:00,2026-01-27 09:00:00,13.087237,77.634121,Beatae nobis aut necessitatibus modi veniam nostrum architecto dignissimos fugiat odio veritatis nobis labore.
7,1.0001e+17,202600001,2026-06-27,Crimes Against Women,Domestic Violence,Jayanagar Women PS,Women Police Station,Bangalore Urban,Court of ACMM Bengaluru,461,Aryan,Police Constable,Women's Cell Officer,Charge Sheeted,FIR,Non-Heinous,2,Yatin Parekh; Akshay Mammen,1,Sai Karan,Isaac Hayer,0,1,2026-08-11,Filed,BNS; DP Act; POCSO,Assault on Woman; Giving/Taking Dowry; Penetrative Sexual Assault,2026-06-26 08:00:00,2026-06-26 04:00:00,2026-06-26 08:00:00,13.022517,77.724244,Qui laboriosam porro maiores dignissimos veritatis facere porro totam quidem error officia at sapiente maxime tenetur explicabo dolore.
8,1.0001e+17,202600001,2026-02-28,Crimes Against Body,Murder,Kalasipalya Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,342,Bhanumati,Head Constable,Crime Branch Officer,Disposed by Court,FIR,Non-Heinous,1,Ubika Ratti,1,Ojas Chadha,Waida Gokhale,0,1,2026-05-15,Filed,BNS,Grievous Hurt,2026-02-27 10:00:00,2026-02-26 23:00:00,2026-02-27 03:00:00,12.919855,77.527752,Ea possimus vero ipsum vel voluptates veritatis facilis dolore dolorem deserunt dignissimos numquam tempore saepe laboriosam officiis reiciendis assumenda optio tenetur.
9,8.0001e+17,202600001,2026-03-30,Crimes Against Public Order,Unlawful Assembly,Vidhana Soudha Police Station,Police Station,Bangalore Urban,Fast Track Court Bengaluru,209,Falak,Police Sub-Inspector (PSI),Women's Cell Officer,Pending Trial,Zero FIR,Non-Heinous,0,,1,Zansi Dewan,Advaith Atwal,0,0,,Pending,BNS,Criminal Intimidation,2026-03-30 06:00:00,2026-03-29 14:00:00,2026-03-29 20:00:00,13.027873,77.509796,Quam cumque consectetur corrupti temporibus rem corporis repudiandae voluptatem omnis expedita molestias.
10,1.0001e+17,202600002,2026-02-08,Economic Offences,Counterfeiting,Basavanagudi Women PS,Women Police Station,Bangalore Urban,Special Court for POCSO Cases Bengaluru,452,Mason,Head Constable,Investigating Officer (IO),Closed - False Case,FIR,Non-Heinous,2,Falan Gera; Warjas Dara,0,,Thomas Goswami,1,1,2026-04-05,Filed,BNS,Cheating; Mischief,2026-02-06 05:00:00,2026-02-05 13:00:00,2026-02-05 19:00:00,13.095076,77.64718,Voluptates deserunt soluta adipisci distinctio magnam quis eveniet molestias rerum aperiam qui tempore optio repellendus maxime repudiandae soluta consectetur corrupti.
